2020/11/04 20:14:06.797 [D] [value.go:475]  ---- 请求到达
2020/11/05 15:25:26.285 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   173.5357ms|   match|[46m POST    [0m /get/users   r:/get/users
2020/11/05 15:26:36.844 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 15:26:36.844 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 15:26:36.845 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:26:36.845 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 15:26:36.856 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 15:26:37.016 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 15:26:37.017 [D] [user.go:120]  ---- 开始获取数据库连接 ----
2020/11/05 15:26:37.018 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 15:26:37.021 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 15:26:37.032 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   188.4959ms|   match|[46m POST    [0m /get/users   r:/get/users
2020/11/05 15:28:25.296 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 15:28:25.297 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 15:28:25.297 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:28:25.297 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 15:28:25.309 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 15:28:25.457 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 15:28:25.458 [D] [user.go:120]  ---- 开始获取数据库连接 ----
2020/11/05 15:28:25.459 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 15:28:25.459 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 15:28:25.485 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   189.6901ms|   match|[46m POST    [0m /get/users   r:/get/users
2020/11/05 15:29:14.254 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 15:29:14.255 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 15:29:14.255 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:29:14.255 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 15:29:14.257 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 15:29:14.397 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 15:29:14.398 [D] [user.go:120]  ---- 开始获取数据库连接 ----
2020/11/05 15:29:14.399 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 15:29:14.402 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 15:29:14.422 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   167.5572ms|   match|[46m POST    [0m /get/users   r:/get/users
2020/11/05 15:30:03.573 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 15:30:03.574 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 15:30:03.574 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:30:03.575 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 15:30:03.583 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 15:30:03.724 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 15:30:03.725 [D] [user.go:120]  ---- 开始获取数据库连接 ----
2020/11/05 15:30:03.725 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 15:30:03.731 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 15:30:03.749 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   175.5305ms|   match|[46m POST    [0m /get/users   r:/get/users
2020/11/05 16:43:10.502 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:43:10.503 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:43:10.503 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:43:10.503 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 16:43:10.503 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 16:43:10.658 [D] [cache.go:10]  redis exec get failed,err:redigo: nil returned
2020/11/05 16:43:10.659 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   157.5797ms|   match|[46m POST    [0m /add/role   r:/add/role
2020/11/05 16:43:16.202 [D] [login.go:82]  login username:admin,password:admin
2020/11/05 16:43:16.202 [D] [login.go:87]  ---- user login cache redis key1:login_admin_username
2020/11/05 16:43:16.202 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:43:16.203 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:43:16.203 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:43:16.204 [D] [cache.go:10]  redis exec get failed,err:redigo: nil returned
2020/11/05 16:43:16.204 [D] [login.go:13]  ---- 开始获取数据库连接 ----
2020/11/05 16:43:16.205 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 16:43:16.205 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 16:43:16.222 [D] [login.go:65]  query sql:select password from fd_user where username = ? and status = 0,query result:{"Id":0,"Username":"","Password":"21232f297a57a5a743894a0e4a801fc3","Head":"","Gender":"","Remark":"","CreateUser":"","UpdateUser":"","Status":"","CreateTime":"0001-01-01T00:00:00Z","UpdateTime":"0001-01-01T00:00:00Z"}
2020/11/05 16:43:16.224 [D] [cache.go:15]  ---- set redis starting ----
2020/11/05 16:43:16.224 [D] [cache.go:52]  ---- 开始获取redis连接 ----
2020/11/05 16:43:16.225 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:43:16.226 [D] [cache.go:15]  ---- get redis val:admin ----
2020/11/05 16:43:16.227 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    25.4415ms|   match|[46m POST    [0m /user/login   r:/user/login
2020/11/05 16:43:18.320 [D] [login.go:82]  login username:admin,password:admin
2020/11/05 16:43:18.321 [D] [login.go:87]  ---- user login cache redis key1:login_admin_username
2020/11/05 16:43:18.321 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:43:18.322 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:43:18.322 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:43:18.323 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:43:18.323 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|     2.9909ms|   match|[46m POST    [0m /user/login   r:/user/login
2020/11/05 16:43:23.482 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:43:23.483 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:43:23.483 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:43:23.484 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:43:23.484 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 16:43:23.488 [E] [role.go:38]  ---- query roleId failed,err:<QuerySeter> no row found
2020/11/05 16:43:23.489 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|     6.9595ms|   match|[46m POST    [0m /add/role   r:/add/role
2020/11/05 16:44:04.701 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:44:04.702 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:44:04.703 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:44:04.710 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 16:44:04.710 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 16:44:04.857 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:44:04.859 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 16:44:04.859 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 16:44:04.862 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 16:44:04.875 [E] [role.go:38]  ---- query roleId failed,err:<QuerySeter> no row found
2020/11/05 16:44:04.878 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   177.5241ms|   match|[46m POST    [0m /add/role   r:/add/role
2020/11/05 16:45:47.191 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:45:47.191 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:45:47.192 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:45:47.201 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 16:45:47.201 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 16:45:47.359 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:45:47.360 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 16:45:47.360 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 16:45:47.360 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 16:45:47.373 [D] [role.go:38]  ---- query sql: sql select id from fd_role where role_name = ?
2020/11/05 16:45:47.374 [D] [role.go:48]  ---- 开始获取数据库连接 ----
2020/11/05 16:45:47.375 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:45:47.375 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:45:47.377 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:45:47.377 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:45:47.383 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:45:47.384 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:45:47.384 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:45:47.387 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:45:47.436 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   245.3213ms|   match|[46m POST    [0m /add/role   r:/add/role
2020/11/05 16:45:59.554 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:45:59.555 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:45:59.555 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:45:59.556 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:45:59.565 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 16:45:59.567 [C] [panic.go:969]  the request url is  /add/role
2020/11/05 16:45:59.568 [C] [panic.go:969]  Handler crashed with error runtime error: invalid memory address or nil pointer dereference
2020/11/05 16:45:59.568 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 16:45:59.569 [C] [panic.go:969]  D:/go/src/runtime/panic.go:212
2020/11/05 16:45:59.570 [C] [panic.go:969]  D:/go/src/runtime/signal_windows.go:246
2020/11/05 16:45:59.571 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/role.go:36
2020/11/05 16:45:59.571 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/role.go:38
2020/11/05 16:45:59.571 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 16:45:59.574 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 16:45:59.575 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 16:45:59.575 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 16:45:59.577 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 16:45:59.578 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 16:47:06.804 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:47:06.804 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:47:06.804 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:47:06.807 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:47:06.809 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 16:47:06.810 [C] [panic.go:969]  the request url is  /add/role
2020/11/05 16:47:06.811 [C] [panic.go:969]  Handler crashed with error runtime error: invalid memory address or nil pointer dereference
2020/11/05 16:47:06.811 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 16:47:06.811 [C] [panic.go:969]  D:/go/src/runtime/panic.go:212
2020/11/05 16:47:06.812 [C] [panic.go:969]  D:/go/src/runtime/signal_windows.go:246
2020/11/05 16:47:06.812 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/role.go:36
2020/11/05 16:47:06.812 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/role.go:38
2020/11/05 16:47:06.813 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 16:47:06.814 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 16:47:06.815 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 16:47:06.815 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 16:47:06.815 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 16:47:06.816 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 16:47:20.794 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:47:20.794 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:47:20.794 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:47:20.795 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:47:20.806 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 16:47:20.808 [D] [role.go:38]  ---- query sql: sql select id from fd_role where role_name = ?
2020/11/05 16:47:20.808 [D] [role.go:48]  ---- 开始获取数据库连接 ----
2020/11/05 16:47:20.808 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:47:20.809 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:47:20.809 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:47:20.810 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:47:20.810 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:47:20.811 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:47:20.811 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:47:20.811 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:47:20.872 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    78.7909ms|   match|[46m POST    [0m /add/role   r:/add/role
2020/11/05 16:47:23.500 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:47:23.500 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:47:23.501 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:47:23.510 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:47:23.511 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 16:47:23.513 [C] [panic.go:969]  the request url is  /add/role
2020/11/05 16:47:23.514 [C] [panic.go:969]  Handler crashed with error runtime error: invalid memory address or nil pointer dereference
2020/11/05 16:47:23.514 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 16:47:23.515 [C] [panic.go:969]  D:/go/src/runtime/panic.go:212
2020/11/05 16:47:23.515 [C] [panic.go:969]  D:/go/src/runtime/signal_windows.go:246
2020/11/05 16:47:23.515 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/role.go:36
2020/11/05 16:47:23.516 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/role.go:38
2020/11/05 16:47:23.525 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 16:47:23.526 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 16:47:23.526 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 16:47:23.527 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 16:47:23.528 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 16:47:23.528 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 16:50:15.538 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:50:15.538 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:50:15.539 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:50:15.540 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:50:15.540 [D] [user.go:51]  ---- 开始获取数据库连接 ----
2020/11/05 16:50:15.543 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|     4.9874ms|   match|[46m POST    [0m /add/user   r:/add/user
2020/11/05 16:50:18.654 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:50:18.655 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:50:18.655 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:50:18.656 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:50:18.663 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 16:50:18.666 [C] [panic.go:969]  the request url is  /add/role
2020/11/05 16:50:18.674 [C] [panic.go:969]  Handler crashed with error runtime error: invalid memory address or nil pointer dereference
2020/11/05 16:50:18.674 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 16:50:18.676 [C] [panic.go:969]  D:/go/src/runtime/panic.go:212
2020/11/05 16:50:18.676 [C] [panic.go:969]  D:/go/src/runtime/signal_windows.go:246
2020/11/05 16:50:18.678 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/role.go:36
2020/11/05 16:50:18.679 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/role.go:38
2020/11/05 16:50:18.679 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 16:50:18.679 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 16:50:18.679 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 16:50:18.681 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 16:50:18.681 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 16:50:18.681 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 16:51:35.226 [D] [value.go:475]  ==== 开始添加 ====
2020/11/05 16:51:35.227 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:51:35.228 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:51:35.232 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:51:35.232 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 16:51:35.234 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 16:51:35.600 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:51:35.600 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 16:51:35.601 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 16:51:35.606 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 16:51:35.615 [C] [panic.go:969]  the request url is  /add/role
2020/11/05 16:51:35.617 [C] [panic.go:969]  Handler crashed with error runtime error: invalid memory address or nil pointer dereference
2020/11/05 16:51:35.618 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 16:51:35.620 [C] [panic.go:969]  D:/go/src/runtime/panic.go:212
2020/11/05 16:51:35.621 [C] [panic.go:969]  D:/go/src/runtime/signal_windows.go:246
2020/11/05 16:51:35.622 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/role.go:36
2020/11/05 16:51:35.622 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/role.go:40
2020/11/05 16:51:35.622 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 16:51:35.622 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 16:51:35.623 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 16:51:35.625 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 16:51:35.625 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 16:51:35.625 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 16:52:47.455 [D] [value.go:475]  ==== 开始添加 ====
2020/11/05 16:52:47.455 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:52:47.456 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:52:47.465 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:52:47.466 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 16:52:47.466 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 16:52:47.616 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:52:47.617 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 16:52:47.617 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 16:52:47.626 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 16:52:47.649 [C] [panic.go:969]  the request url is  /add/role
2020/11/05 16:52:47.650 [C] [panic.go:969]  Handler crashed with error runtime error: invalid memory address or nil pointer dereference
2020/11/05 16:52:47.650 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 16:52:47.651 [C] [panic.go:969]  D:/go/src/runtime/panic.go:212
2020/11/05 16:52:47.652 [C] [panic.go:969]  D:/go/src/runtime/signal_windows.go:246
2020/11/05 16:52:47.652 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/role.go:36
2020/11/05 16:52:47.652 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/role.go:40
2020/11/05 16:52:47.652 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 16:52:47.653 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 16:52:47.653 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 16:52:47.653 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 16:52:47.653 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 16:52:47.654 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 16:53:09.369 [D] [value.go:475]  ==== 开始添加 ====
2020/11/05 16:53:09.369 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:53:09.370 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:53:09.407 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:53:09.408 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 16:53:09.408 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 16:53:09.583 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:53:09.588 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 16:53:09.589 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 16:53:09.590 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 16:53:09.608 [C] [panic.go:969]  the request url is  /add/role
2020/11/05 16:53:09.608 [C] [panic.go:969]  Handler crashed with error runtime error: invalid memory address or nil pointer dereference
2020/11/05 16:53:09.609 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 16:53:09.609 [C] [panic.go:969]  D:/go/src/runtime/panic.go:212
2020/11/05 16:53:09.609 [C] [panic.go:969]  D:/go/src/runtime/signal_windows.go:246
2020/11/05 16:53:09.610 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/role.go:36
2020/11/05 16:53:09.610 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/role.go:42
2020/11/05 16:53:09.610 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 16:53:09.611 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 16:53:09.611 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 16:53:09.611 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 16:53:09.612 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 16:53:09.612 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 16:56:31.373 [D] [value.go:475]  ==== 开始添加 ====
2020/11/05 16:56:31.373 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:56:31.373 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:56:31.373 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:56:31.374 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:56:31.374 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 16:56:31.378 [D] [role.go:42]  ---- query sql: sql select id from fd_role where role_name = ?
2020/11/05 16:56:31.378 [D] [role.go:48]  ---- 开始获取数据库连接 ----
2020/11/05 16:56:31.379 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:56:31.380 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:56:31.381 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:56:31.382 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:56:31.382 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 16:56:31.383 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:56:31.383 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:56:31.384 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:56:31.427 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    53.8347ms|   match|[46m POST    [0m /add/role   r:/add/role
2020/11/05 16:57:56.977 [D] [cache.go:10]  ---- get redis starting ----
